ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.522205,4.611084,6.488569,4.588917,15.98892,0.264552,3.105258,0.1055074,NONE
-1,6.522391,4.61108,6.488383,4.588921,15.98892,0.2727719,3.105152,0.2017931,NONE
-1,6.522393,4.611073,6.488382,4.588929,15.98893,0.2751894,3.105131,0.3027717,NONE
-1,6.522389,4.611069,6.488386,4.588933,15.98893,0.2756753,3.105127,0.4053968,NONE
-1,6.522381,4.611063,6.488393,4.588938,15.98894,0.2757417,3.105124,0.50359,NONE
-1,6.522376,4.611059,6.488399,4.588942,15.98894,0.2757474,3.105138,0.6027817,NONE
-1,6.522367,4.611053,6.488407,4.588948,15.98895,0.2757442,3.105138,0.7020507,NONE
-1,6.522361,4.611049,6.488414,4.588953,15.98895,0.2757449,3.105158,0.800016,ACCELERATE
-1,6.522355,4.611044,6.48842,4.588957,15.98896,0.2757442,3.105183,0.9037472,ACCELERATE
-1,6.522349,4.61104,6.488426,4.588961,15.98896,0.2757443,3.105206,1.00457,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757435,3.10522,1.103965,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757445,3.105244,1.205212,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757446,3.105267,1.306308,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105286,1.400506,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105308,1.503328,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757441,3.105329,1.601733,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105351,1.701121,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105372,1.803089,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105393,1.904187,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757442,3.105415,2.002863,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757445,3.105439,2.105789,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757446,3.10546,2.205019,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757439,3.105477,2.302594,ACCELERATE
