ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521966,4.611085,6.488806,4.588916,15.98892,0.2607935,3.105315,0.1006056,NONE
-1,6.522384,4.61108,6.488391,4.588921,15.98892,0.271969,3.105158,0.2053368,NONE
-1,6.522397,4.611075,6.488379,4.588926,15.98892,0.2749417,3.105129,0.3017751,NONE
-1,6.52239,4.61107,6.488385,4.588932,15.98893,0.2756308,3.105128,0.4027981,ACCELERATE
-1,6.522384,4.611065,6.488391,4.588936,15.98894,0.2757372,3.105122,0.5029907,ACCELERATE
-1,6.522379,4.611061,6.488396,4.58894,15.98894,0.2757474,3.105135,0.6023009,ACCELERATE
-1,6.522372,4.611056,6.488403,4.588945,15.98894,0.2757446,3.105139,0.7002117,ACCELERATE
-1,6.522364,4.611051,6.488411,4.588951,15.98895,0.275745,3.105156,0.8027778,ACCELERATE
-1,6.522357,4.611046,6.488418,4.588955,15.98895,0.2757443,3.105181,0.903878,ACCELERATE
-1,6.522352,4.611042,6.488423,4.588959,15.98896,0.2757433,3.105195,1.000272,ACCELERATE
-1,6.522349,4.61104,6.488425,4.588961,15.98896,0.2757444,3.10522,1.104385,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757446,3.105242,1.204811,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757439,3.105261,1.300821,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757446,3.105284,1.404889,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757446,3.105307,1.505079,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757441,3.105325,1.600188,ACCELERATE
-1,6.522349,4.61104,6.488425,4.588961,15.98896,0.2757446,3.105351,1.706593,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757438,3.105369,1.801656,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757439,3.105391,1.903212,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757446,3.105415,2.004805,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105433,2.102807,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757446,3.10546,2.205493,ACCELERATE
-1,6.522349,4.61104,6.488425,4.588961,15.98896,0.275744,3.105479,2.300683,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757438,3.1055,2.402954,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.10552,2.502417,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757438,3.105539,2.600785,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757439,3.10556,2.701139,ACCELERATE
-1,6.522349,4.61104,6.488425,4.588961,15.98896,0.2757441,3.105581,2.807153,ACCELERATE
-1,6.522349,4.61104,6.488425,4.588961,15.98896,0.2757439,3.105597,2.901587,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757438,3.105618,3.001415,ACCELERATE
-1,6.522353,4.61104,6.488423,4.588961,15.98896,0.2757394,3.113337,3.106553,ACCELERATE
-1,6.522435,4.611058,6.48834,4.588943,15.98894,0.2757123,3.22917,3.202636,ACCELERATE
-1,6.52258,4.611107,6.488196,4.588894,15.98889,0.2757004,3.492783,3.303325,ACCELERATE
-1,6.522791,4.611195,6.487986,4.588807,15.9888,0.2756964,3.910358,3.407312,ACCELERATE
-1,6.523061,4.611322,6.487716,4.588679,15.98867,0.2783396,4.399423,3.501142,ACCELERATE
-1,6.523508,4.611522,6.487268,4.58848,15.98846,0.2803655,5.02992,3.600827,ACCELERATE
-1,6.523943,4.611758,6.486836,4.588244,15.98822,0.2788628,5.773102,3.700157,ACCELERATE
-1,6.524379,4.61202,6.486402,4.587981,15.98796,0.2793995,6.629588,3.800736,ACCELERATE
-1,6.524893,4.61232,6.485888,4.587682,15.98766,0.2790157,7.614833,3.904755,ACCELERATE
-1,6.52546,4.612648,6.485322,4.587354,15.98733,0.279237,8.659116,4.005907,ACCELERATE
-1,6.526032,4.612986,6.484751,4.587016,15.98699,0.2791377,9.701711,4.100259,ACCELERATE
-1,6.526705,4.613387,6.484079,4.586616,15.98659,0.2791815,10.89277,4.202126,ACCELERATE
-1,6.527424,4.61382,6.483361,4.586183,15.98615,0.2791503,12.15148,4.304577,ACCELERATE
-1,6.52818,4.614279,6.482606,4.585723,15.98569,0.2791656,13.39265,4.401583,ACCELERATE
-1,6.529013,4.61479,6.481774,4.585212,15.98518,0.2791575,14.75313,4.50436,ACCELERATE
-1,6.529867,4.615318,6.480923,4.584684,15.98465,0.2791613,16.10332,4.603428,ACCELERATE
-1,6.530786,4.615889,6.480006,4.584113,15.98407,0.2791581,17.51986,4.704863,ACCELERATE
-1,6.53172,4.616475,6.479073,4.583528,15.98349,0.2791589,18.89715,4.801493,ACCELERATE
-1,6.532751,4.617123,6.478045,4.582879,15.98285,0.2791588,20.37321,4.903283,ACCELERATE
-1,6.533787,4.617779,6.477009,4.582223,15.98218,0.2791584,21.83455,5.002563,ACCELERATE
-1,6.534869,4.618466,6.475932,4.581536,15.9815,0.2791583,23.29381,5.100657,ACCELERATE
-1,6.535984,4.619178,6.474819,4.580824,15.98078,0.2791594,24.7751,5.200108,ACCELERATE
-1,6.537185,4.61995,6.473619,4.580052,15.98001,0.279159,26.30674,5.302936,ACCELERATE
-1,6.538379,4.620719,6.472429,4.579284,15.97924,0.2791603,27.78732,5.402334,ACCELERATE
-1,6.539588,4.6215,6.471221,4.578503,15.97846,0.2791594,29.25461,5.500841,ACCELERATE
-1,6.540845,4.622313,6.469968,4.57769,15.97764,0.2791597,30.74632,5.600986,ACCELERATE
-1,6.542186,4.623183,6.46863,4.57682,15.97676,0.2791605,32.2948,5.704944,ACCELERATE
-1,6.659688,4.642435,6.34633,4.559854,15.95593,0.2791592,33.74521,5.802351,LEFT_ACCELERATE
-1,7.14663,4.795408,5.846928,4.44746,15.81592,0.2791665,35.269,5.905231,LEFT_ACCELERATE
-1,7.376993,5.029512,5.57403,4.245657,15.5955,0.2791653,36.67997,6.001133,LEFT_ACCELERATE
-1,7.695349,5.302231,5.213202,3.993624,15.29426,0.2791664,38.1759,6.103665,LEFT_ACCELERATE
-1,8.009418,5.607119,4.821611,3.6892,14.8891,0.2791656,39.60537,6.203474,LEFT_ACCELERATE
-1,7.89807,5.795589,4.824038,3.439571,14.47795,0.2791637,40.98815,6.300334,LEFT_ACCELERATE
-1,7.778137,5.918946,4.92764,3.284555,14.03919,0.2791608,42.43053,6.401574,LEFT_ACCELERATE
-1,7.671324,6.025113,5.078412,3.176356,13.51589,0.279162,43.88397,6.505315,LEFT_ACCELERATE
-1,7.53105,6.050982,5.403546,3.149396,12.97084,0.2791641,45.24414,6.603743,LEFT_ACCELERATE
-1,7.636983,6.104191,5.187606,3.096539,12.2923,0.2791811,46.54624,6.702525,LEFT_ACCELERATE
-1,7.95912,6.241827,4.628417,2.961617,11.40255,0.2791901,47.78269,6.805087,LEFT_ACCELERATE
-1,8.072539,6.400855,4.428862,2.80063,10.41048,0.2791791,48.88889,6.904969,LEFT_ACCELERATE
-1,8.165198,6.52064,4.265962,2.678074,9.379047,0.2791778,49.88565,7.001402,LEFT_ACCELERATE
-1,8.564371,6.697195,3.729389,2.506998,8.203318,0.2791989,50.76168,7.100133,LEFT_ACCELERATE
-1,9.348218,7.021194,2.986237,2.235902,6.84765,0.2792104,51.44202,7.202414,LEFT_ACCELERATE
-1,9.420295,7.448282,2.340433,1.857693,5.413842,0.2791962,51.89454,7.303672,LEFT_ACCELERATE
-1,7.830567,7.16591,1.849365,1.462918,3.957409,0.2791806,52.20971,7.403813,LEFT_ACCELERATE
-1,7.423929,6.679252,1.575445,1.167353,2.286772,0.279167,52.54698,7.518273,ACCELERATE
-1,7.444582,6.700492,1.550243,1.046894,1.02436,0.2791639,52.83226,7.605181,ACCELERATE
-1,7.45702,6.714161,1.758944,1.079174,-0.3514611,0.2791613,53.16476,7.700215,ACCELERATE
-1,7.464799,6.722835,2.293063,1.261741,-1.849522,0.2791612,53.54312,7.803951,ACCELERATE
-1,7.479084,6.739116,3.012961,1.561236,-3.246695,0.2791607,53.90622,7.900867,RIGHT_ACCELERATE
-1,8.217222,7.6075,4.093889,1.994734,-4.682586,0.2791637,54.32355,8.001309,RIGHT_ACCELERATE
-1,7.404718,7.261464,6.06595,2.613076,-6.082134,0.2791726,54.86173,8.102112,RIGHT_ACCELERATE
-1,6.494005,6.782558,9.258679,3.423673,-7.433595,0.279176,55.52504,8.2033,RIGHT_ACCELERATE
-1,5.564011,6.168812,-1,4.421628,-8.70191,0.2791767,56.28322,8.302605,RIGHT_ACCELERATE
8.084083,4.580269,5.403591,-1,5.670849,-9.941064,0.2791741,57.16262,8.404712,LEFT_ACCELERATE
6.656363,3.706817,4.323678,-1,6.655469,-11.14619,0.2791588,58.02485,8.504271,LEFT_ACCELERATE
6.100887,3.018282,3.28258,-1,7.175595,-12.40443,0.2791755,58.75051,8.601982,LEFT_ACCELERATE
6.625216,2.553279,2.481737,-1,7.361791,-13.81804,0.2791977,59.30853,8.704373,LEFT_ACCELERATE
-1,2.464499,2.079319,-1,-1,-15.25504,0.279214,59.58199,8.803012,LEFT_ACCELERATE
-1,0.8524751,0.6183487,-1,-1,-16.74123,0.2792169,59.57227,8.903354,LEFT_ACCELERATE
-1,4.661564,3.821939,3.938449,2.340738,-18.16808,0.2792124,59.28876,9.001674,LEFT_ACCELERATE
-1,7.322847,6.707132,5.82122,2.914484,-19.6056,0.2791763,58.78246,9.104441,RIGHT_ACCELERATE
-1,6.88039,6.186613,6.378273,3.382976,-21.00599,0.2791654,58.32606,9.203457,RIGHT_ACCELERATE
-1,5.008034,4.146757,5.909766,3.644022,-22.48209,0.2791867,58.02648,9.304818,RIGHT_ACCELERATE
-1,2.492551,1.900805,-1,-1,-23.9054,0.2791811,57.92563,9.400822,RIGHT_ACCELERATE
-1,1.887688,1.411916,-1,-1,-25.45483,0.2791632,57.89912,9.504917,LEFT_ACCELERATE
-1,3.576136,2.821166,-1,-1,-26.87531,0.2791672,57.78187,9.600747,LEFT_ACCELERATE
-1,6.444686,5.483409,5.250163,3.782465,-28.36007,0.2791879,57.46966,9.702893,LEFT_ACCELERATE
-1,7.124202,5.279536,6.023986,4.059434,-29.75515,0.2792116,56.91079,9.80421,LEFT_ACCELERATE
-1,5.780946,4.971558,7.289591,4.590666,-31.01459,0.2792174,56.08657,9.905782,LEFT_ACCELERATE
-1,4.715573,4.512557,8.741009,5.308239,-32.06083,0.2792077,55.08927,10.00334,RIGHT_ACCELERATE
-1,4.052357,3.842826,9.36384,5.908995,-33.057,0.2791597,54.03117,10.10107,RIGHT_ACCELERATE
-1,4.129025,3.238392,8.559674,6.099372,-34.18952,0.2791776,53.02343,10.20305,RIGHT_ACCELERATE
-1,5.570652,3.136776,7.478059,6.066935,-35.44643,0.2791885,52.18889,10.30463,RIGHT_ACCELERATE
-1,-1,3.483835,6.600639,5.891354,-36.73846,0.279171,51.52651,10.40224,LEFT_ACCELERATE
-1,-1,3.949078,6.033761,5.559673,-38.06505,0.2791637,50.81435,10.50343,LEFT_ACCELERATE
-1,-1,4.30873,5.67454,5.192201,-39.26727,0.2791784,49.99394,10.60136,LEFT_ACCELERATE
