ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521985,4.611085,6.488788,4.588916,15.98892,0.2605428,3.105321,0.1062315,NONE
-1,6.522377,4.611081,6.488397,4.58892,15.98892,0.271294,3.105167,0.2016084,NONE
-1,6.522398,4.611076,6.488378,4.588925,15.98893,0.2748857,3.105131,0.3052402,NONE
-1,6.52239,4.61107,6.488385,4.588932,15.98893,0.2756048,3.105124,0.4008502,NONE
-1,6.522384,4.611065,6.488391,4.588936,15.98894,0.2757354,3.105121,0.5049343,NONE
-1,6.522377,4.61106,6.488398,4.588941,15.98894,0.2757474,3.105131,0.6040014,ACCELERATE
-1,6.52237,4.611055,6.488404,4.588946,15.98895,0.2757449,3.10513,0.7014796,ACCELERATE
-1,6.522364,4.611051,6.488411,4.588951,15.98895,0.275745,3.105144,0.8018343,ACCELERATE
-1,6.522358,4.611046,6.488418,4.588955,15.98895,0.2757446,3.105166,0.901208,ACCELERATE
-1,6.522349,4.61104,6.488426,4.588961,15.98896,0.2757451,3.105191,1.003785,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757441,3.105208,1.100277,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757451,3.10523,1.204729,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757443,3.105248,1.300332,ACCELERATE
-1,6.522346,4.611038,6.488429,4.588963,15.98896,0.2757443,3.10527,1.400383,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757441,3.105293,1.502753,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757441,3.105315,1.601525,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105338,1.706049,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.10536,1.805576,ACCELERATE
-1,6.522345,4.611037,6.48843,4.588964,15.98896,0.2757439,3.105382,1.90589,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757442,3.105405,2.00252,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.275744,3.105425,2.102794,ACCELERATE
-1,6.522346,4.611038,6.488428,4.588963,15.98896,0.2757441,3.105447,2.203741,ACCELERATE
-1,6.522348,4.611039,6.488427,4.588962,15.98896,0.2757438,3.105466,2.30574,ACCELERATE
-1,6.522347,4.611038,6.488429,4.588963,15.98896,0.2757443,3.105487,2.400472,ACCELERATE
-1,6.522345,4.611037,6.48843,4.588964,15.98896,0.2757441,3.105508,2.501888,ACCELERATE
